id,Average Rating,calories_kCal,Servings,Average Sentiment,recipe_prep_time,#ingredient,category
3763,4.78,1043,4,2.18,20,19,Barbecue
3943,4.73,418,5,2.24,25,15,Barbecue
4137,4.52,537,6,2.04,25,10,Barbecue
104,4.41,870,4,1.98,15,9,Barbecue
56,4.75,882,4,2.15,10,5,Barbecue
1815,4.38,676,4,1.86,10,11,Barbecue
2887,4.45,510,4,1.8,20,13,Barbecue
926,4.53,396,8,1.98,30,8,Barbecue
809,4.68,664,4,1.9,10,14,Barbecue
103,4.75,318,6,2.17,15,5,Barbecue
1855,4.55,446,4,1.95,5,8,Barbecue
3102,4.52,404,6,2.13,15,6,Barbecue
129,4.6,446,6,2.06,25,5,Barbecue
3410,4.68,551,1,2.05,10,7,Barbecue
206,4.68,514,8,1.72,30,5,Barbecue
1326,4.66,586,4,2.12,15,8,Barbecue
838,4.49,455,4,1.74,15,4,Barbecue
1431,4.44,576,2,1.91,15,12,Barbecue
141,4.45,393,4,1.92,10,7,Barbecue
6674,4.73,588,8,1.82,30,17,Barbecue
1165,4.76,551,4,2.25,15,12,Barbecue
5363,4.47,342,4,1.67,15,6,Barbecue
5567,4.5,644,4,1.95,10,7,Barbecue
1020,4.58,549,4,1.94,15,8,Barbecue
1639,4.5,338,4,2.19,10,11,Barbecue
3783,4.49,388,6,2.19,15,7,Barbecue
1171,4.64,681,8,1.73,10,12,Barbecue
2055,4.6,382,10,1.9,5,7,Barbecue
1760,4.51,452,2,1.94,5,9,Barbecue
4568,4.47,467,4,2.09,10,9,Barbecue
204,4.44,450,6,1.92,5,6,Barbecue
980,4.69,714,4,2.04,25,12,Barbecue
3081,4.63,398,2,2.07,15,7,Barbecue
2576,4.58,378,6,2.0,15,11,Barbecue
788,4.67,560,10,1.71,10,12,Barbecue
3195,4.29,297,10,1.71,15,9,Barbecue
770,3.94,445,4,1.6,10,13,Barbecue
1304,4.69,742,2,1.65,15,7,Barbecue
5471,4.41,426,10,1.63,60,19,Barbecue
609,4.72,378,6,2.24,50,10,Barbecue
1952,4.63,434,3,1.93,30,9,Barbecue
953,4.61,275,6,2.05,15,9,Barbecue
2039,4.78,447,6,2.15,30,10,Barbecue
3923,4.68,764,4,1.96,30,22,Barbecue
3469,4.63,544,4,2.09,25,9,Barbecue
340,4.43,404,4,1.96,30,19,Barbecue
5967,4.67,590,4,2.27,15,9,Barbecue
4894,4.67,438,6,2.34,15,9,Barbecue
1648,4.47,367,4,1.95,15,9,Barbecue
3459,4.62,482,4,1.99,5,9,Barbecue
2822,4.63,463,6,2.2,15,8,Fruits and Vegetables
1470,4.24,660,6,1.75,10,13,Fruits and Vegetables
259,4.49,814,4,2.14,20,8,Fruits and Vegetables
2505,4.25,397,7,1.9,15,4,Fruits and Vegetables
265,4.45,692,2,1.75,10,10,Fruits and Vegetables
2022,4.47,407,8,2.07,20,9,Fruits and Vegetables
266,4.34,619,8,1.58,20,17,Fruits and Vegetables
661,4.39,1595,6,1.75,20,19,Fruits and Vegetables
1079,4.79,509,2,2.03,10,9,Fruits and Vegetables
2359,4.52,930,4,1.85,5,7,Fruits and Vegetables
8867,3.95,397,4,1.75,15,11,Fruits and Vegetables
3729,4.31,685,4,1.97,20,11,Fruits and Vegetables
2794,4.14,378,8,1.68,30,13,Fruits and Vegetables
5909,4.53,653,8,2.06,20,9,Fruits and Vegetables
270,4.55,449,4,1.94,25,6,Fruits and Vegetables
117,4.64,513,6,2.17,15,7,Fruits and Vegetables
1541,4.52,408,4,1.98,10,22,Fruits and Vegetables
