person_id,prolific_id,phase,relevant,timestamp,interesting,know_better,like_chosen,diversity_high,differed_topics,fit_preferences,looking_forward,fitted_preferences,similar_to_each_other,sport,politikk,media_usage,news_source,media_access,mat_og_drikke,klima_og_miljo,livsstil_og_helse,helse_og_forskning,samfunn_og_arbeidsliv,okonomi_og_naeringsliv,teknologi_og_vitenskap,kriminalitet_og_rettssaker,underholdning_og_kjendiser,utenriks_og_globale_konflikter,num_clicks,percent_familiar,age,country,education,gender
2,5b14532ce9270900013c5bf6,1,2,2025-06-19T15:54:07.912053+00:00,3,3,3,4,4,4,3,2,2,-1,1,daily,social,"internet,smartphone,streaming",-1,-1,-1,-1,-1,1,1,-1,-1,1,5,,b35_45,GB,BA,Male
2,5b14532ce9270900013c5bf6,2,2,2025-06-21T18:49:36.769585+00:00,2,3,3,2,3,4,3,2,4,-1,1,daily,social,"internet,smartphone,streaming",-1,-1,-1,-1,-1,1,1,-1,-1,1,1,100.0,b35_45,GB,BA,Male
3,65e231b58b6f797b593b61d3,1,4,2025-06-19T15:56:35.304918+00:00,4,1,4,3,3,4,4,4,2,1,1,daily,social,"internet,smartphone",1,1,1,1,1,-1,1,1,1,1,5,,b35_45,US,MSc,Female
3,65e231b58b6f797b593b61d3,2,5,2025-06-21T20:31:29.576880+00:00,5,1,5,4,4,5,5,5,2,1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,-1,1,1,1,-1,1,100.0,b35_45,US,MSc,Female
4,677d99d7e6122bb726370792,1,5,2025-06-19T15:57:28.588465+00:00,3,2,3,3,3,5,3,5,3,-1,1,daily,social,"internet,smartphone,streaming",1,1,1,1,-1,-1,1,1,-1,1,5,,b45_55,US,BA,Female
4,677d99d7e6122bb726370792,2,5,2025-06-21T18:45:28.231768+00:00,5,2,5,4,4,5,5,5,2,-1,1,daily,social,internet,1,1,-1,1,-1,-1,1,1,-1,1,6,33.3,b45_55,US,BA,Female
5,5b8733a8dd068d0001be4a5f,1,3,2025-06-19T15:53:15.048934+00:00,4,2,4,1,4,3,5,5,2,1,1,daily,social,"internet,smartphone,tablet,streaming",1,-1,1,1,-1,1,1,1,1,1,5,,b25_35,GB,High_school,Male
5,5b8733a8dd068d0001be4a5f,2,4,2025-06-21T18:29:17.076108+00:00,5,2,5,5,4,5,4,4,5,1,1,daily,social,"internet,smartphone,tablet,streaming",1,-1,1,1,-1,-1,1,1,1,1,6,16.7,b25_35,GB,High_school,Male
6,55daf7b369dbc30005b68ac9,1,3,2025-06-19T15:53:54.744305+00:00,4,3,4,4,4,5,4,4,2,1,1,daily,social,"internet,smartphone,streaming",-1,1,-1,1,-1,-1,1,-1,-1,1,7,,b35_45,GB,MSc,Male
6,55daf7b369dbc30005b68ac9,2,4,2025-06-23T10:49:54.356201+00:00,3,2,4,2,4,5,5,4,4,1,1,daily,social,"internet,smartphone,streaming",-1,1,-1,1,-1,-1,1,-1,-1,1,1,100.0,b35_45,GB,MSc,Male
7,6844ca2c2fac39b9ee3d0f8a,1,5,2025-06-19T15:54:25.512248+00:00,5,2,4,3,5,5,5,5,2,1,-1,daily,social,"internet,smartphone,tablet,streaming",1,1,-1,1,1,1,1,-1,-1,-1,8,,b25_35,US,MSc,Male
7,6844ca2c2fac39b9ee3d0f8a,2,5,2025-06-21T18:29:27.947027+00:00,5,5,5,4,5,5,5,5,2,1,-1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,1,-1,-1,2,50.0,b25_35,US,MSc,Male
8,67ed8001c2b6765fa734649d,1,4,2025-06-19T15:56:55.961863+00:00,4,5,4,4,4,4,4,3,2,1,1,daily,social,internet,1,1,1,1,1,1,-1,1,1,-1,5,,b45_55,US,MSc,Female
8,67ed8001c2b6765fa734649d,2,5,2025-06-21T18:46:19.639239+00:00,4,5,4,4,5,4,5,4,1,-1,1,daily,social,"internet,smartphone,streaming",1,1,1,1,1,1,1,1,1,1,5,40.0,b45_55,US,MSc,Female
